排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
50,A31分拣,B,39.4,21.7,59.6,42.2,273,86,96,91,31.5%,35.2%,33.3%,1.19,0,4,8,6,14,41.7%,A25分拣,6,A62分拣,25316.0,11903.0,42071.0,273,3.48%,分拣机4,97,0,混合型
51,A92分拣,B,38.4,12.3,79.6,18.5,182,88,3,91,48.4%,1.6%,50.0%,1.1,0,4,18,13,31,17.0%,A76分拣,11,A46分拣,116595.0,34838.0,155478.0,182,2.32%,分拣机1,367,100000,混合型
52,A66分拣,B,38.2,10.3,84.6,14.7,174,83,0,91,47.7%,0.0%,52.3%,1.2,0,4,16,10,26,18.7%,A46分拣,6,A46分拣,137087.0,77708.0,214795.0,174,2.22%,分拣机1,187,100000,末端型
53,A3分拣,B,38.1,13.2,76.0,19.1,176,85,0,91,48.3%,0.0%,51.7%,1.12,0,4,17,20,37,16.5%,A46分拣,8,A45分拣,80408.0,42183.0,122591.0,176,2.24%,分拣机1,330,100000,末端型
54,A36分拣,B,38.0,9.1,86.4,16.7,135,86,11,38,63.7%,8.1%,28.1%,0.81,0,4,4,11,15,57.1%,A10分拣,5,A10分拣,42024.0,196155.0,242040.0,135,1.72%,分拣机7,308,60000,始发型
55,A55分拣,B,37.3,10.1,81.8,14.4,177,86,0,91,48.6%,0.0%,51.4%,1.18,0,4,17,8,25,18.7%,A46分拣,7,A46分拣,106180.0,73407.0,179587.0,177,2.26%,分拣机1,222,100000,末端型
56,A57分拣,B,36.4,10.6,76.4,18.0,194,90,13,91,46.4%,6.7%,46.9%,1.26,0,4,9,8,17,30.8%,A46分拣,8,A46分拣,86494.0,39683.0,126338.0,194,2.47%,分拣机1,216,100000,混合型
57,A88分拣,B,36.0,12.1,70.3,20.4,189,85,13,91,45.0%,6.9%,48.1%,1.15,0,4,14,9,23,29.8%,A46分拣,5,A15分拣,58165.0,23356.0,84314.0,189,2.41%,分拣机4,95,30000,混合型
58,A93分拣,B,35.9,11.2,73.1,16.1,179,88,0,91,49.2%,0.0%,50.8%,1.2,0,4,13,16,29,31.9%,A46分拣,4,A46分拣,78214.0,23052.0,101266.0,179,2.28%,分拣机4,71,30000,末端型
59,A75分拣,B,35.3,10.1,73.8,14.4,177,86,0,91,48.6%,0.0%,51.4%,1.31,0,4,15,10,25,34.1%,A77分拣,5,A45分拣,70607.0,35397.0,106004.0,177,2.26%,分拣机4,96,25000,末端型
60,A34分拣,B,35.3,11.1,70.5,16.0,177,86,0,91,48.6%,0.0%,51.4%,1.19,0,4,13,16,29,27.5%,A46分拣,5,A46分拣,55184.0,30677.0,85861.0,177,2.26%,分拣机4,95,30000,末端型
